Replace Part C1 Cap Semi in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with Cap Semi from Miscellaneous Devices.IntLib
Replace Part C2 Cap Semi in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with Cap Semi from Miscellaneous Devices.IntLib
Replace Part IC1 SN74LV245APWR in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with SN74LV245APWR from SN74LV245APWR.IntLib
Replace Part J1 BNC_CON in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with BNC_CON from BNC.SchLib
Replace Part J2 BNC_CON in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with BNC_CON from BNC.SchLib
Replace Part J3 BNC_CON in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with BNC_CON from BNC.SchLib
Replace Part J4 BNC_CON in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with BNC_CON from BNC.SchLib
Replace Part J5 BNC_CON in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with BNC_CON from BNC.SchLib
Replace Part J6 BNC_CON in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with BNC_CON from BNC.SchLib
Replace Part J7 BNC_CON in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with BNC_CON from BNC.SchLib
Replace Part J8 BNC_CON in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with BNC_CON from BNC.SchLib
Replace Part P1 Header 6X2H in C:\Gitrep\SInglePhotons\Board\PMOD_LEVELSHIFT.SchDoc with Header 6X2H from Miscellaneous Connectors.IntLib
